limited,positive
overpriced,negative
less,negative
particular,positive
cheap,positive
major,positive
valuable,negative
cold,positive
fine,negative
previous,negative
perfect,positive
slow,negative
quaint,negative
much,positive
better,positive
pricier,negative
only,positive
easy,positive
adequate,negative
heavier,negative
worth,negative
good,positive
big,positive
cheaper,positive
early,negative
repulsive,negative
lighter,negative
disappointed,negative
entire,positive
impressive,positive
numerous,positive
large,positive
solid,negative
delightful,positive
stupid,negative
reasonable,positive
small,negative
difficult,negative
soft,positive
round,positive
lasting,negative
heavy,positive
smaller,negative
old,negative
fair,positive
tired,positive
hard,negative
dead,positive
past,negative
elegant,positive
second,positive
proper,positive
further,negative
best,positive
bad,negative
revolting,negative
enough,negative
critical,positive
horrible,negative
new,positive
adorable,positive
compact,positive
comparable,negative
full,positive
pathetic,negative
slight,negative
long-lasting,negative
free,positive
standard,positive
quick,positive
spare,positive
strong,negative
noisy,negative
dry,negative
great,positive
last,negative
extraordinary,negative
many,positive
larger,positive
favorite,positive
terrible,negative
durable,negative
glorious,positive
first,negative
fantastic,positive
extra,positive
sweet,positive
powerful,negative
well-known,negative
appropriate,positive
long,negative
slower,negative
open,positive
cheesy,positive
expensive,negative
late,positive
little,negative
capable,negative
decent,positive
top,positive
initial,positive
fast,positive
few,negative
flimsy,positive
wonderful,positive
low,positive
basic,positive
incompetent, negative
more,positive
questionable,negative
successful,positive
acceptable,positive
newer,positive
excellent,positive
ok,negative
highest,negative
dull,negative
present,positive
longer,negative
wide,positive
rugged,negative
cheapest,positive
depressed,negative
sturdy,negative
easier,positive
near,positive
silly,negative
dirty,negative
beautiful,positive
inexpensive,positive
bent,negative
awesome,positive
deep,positive
comfortable,positive
high,negative
single,positive
lightweight,negative
ready,positive
damaged,negative
able,negative
same,negative
tight,negative
amazing,positive
other,positive
special,positive
familiar,negative
several,positive
nice,positive
poor,negative
unbelievable,positive
extended,positive
okay,negative
normal,positive
popular,positive
astounding,positive
different,positive
disgusted,negative
important,positive
lower,positive
short,positive
splendid,positive
older,negative
light,negative
average,positive
concrete,negative
severe,negative
fresh,positive
weighty,positive
usual,negative
